Name,ID,CurseForge,Authors
Tech Reborn,233564,https://www.curseforge.com/minecraft/mc-mods/techreborn,modmuss50,drcrazy777
Terra,0,https://modrinth.com/mod/terra,,
Terralith,513688,https://www.curseforge.com/minecraft/mc-mods/terralith,Starmute
The Twilight Forest,227639,https://www.curseforge.com/minecraft/mc-mods/the-twilight-forest?FORM=LFACTRE,,,,,,,,,,,,
ToroHealth Damage Indicators,245733,https://www.curseforge.com/minecraft/mc-mods/torohealth-damage-indicators,ToroCraft
Trading Post [Fabric],547472,https://www.curseforge.com/minecraft/mc-mods/trading-post-fabric,Fuzs_
Trinkets (Fabric),341284,https://www.curseforge.com/minecraft/mc-mods/trinkets,EmilyPloszaj
Visual Workbench [Fabric],554277,https://www.curseforge.com/minecraft/mc-mods/visual-workbench-fabric,Fuzs_
VoidZ,486971,https://www.curseforge.com/minecraft/mc-mods/voidz,Globox_Z
WTHIT,440979,https://www.curseforge.com/minecraft/mc-mods/wthit,badasintended
Waystones (Fabric Edition),500087,https://www.curseforge.com/minecraft/mc-mods/waystones-fabric,BlayTheNinth
Wireless Networks,461316,https://www.curseforge.com/minecraft/mc-mods/wireless-networks,GabrielHOlv
XP Obelisk,510262,https://www.curseforge.com/minecraft/mc-mods/xp-obelisk,Meridanus
YUNG's API (Fabric),421649,https://www.curseforge.com/minecraft/mc-mods/yungs-api-fabric,YUNGNICKYOUNG
YUNG's Better Dungeons (Fabric),525586,https://www.curseforge.com/minecraft/mc-mods/yungs-better-dungeons-fabric,YUNGNICKYOUNG,EveCommander
YUNG's Better Mineshafts (Fabric),373591,https://www.curseforge.com/minecraft/mc-mods/yungs-better-mineshafts-fabric,YUNGNICKYOUNG
YUNG's Better Strongholds (Fabric),480684,https://www.curseforge.com/minecraft/mc-mods/yungs-better-strongholds-fabric,YUNGNICKYOUNG,EveCommander
YUNG's Bridges (Fabric),590988,https://www.curseforge.com/minecraft/mc-mods/yungs-bridges-fabric,YUNGNICKYOUNG
You're in Grave Danger,544912,https://www.curseforge.com/minecraft/mc-mods/youre-in-grave-danger,b1n_ry
[Fabric] Simple Cobblestone Generator,487029,https://www.curseforge.com/minecraft/mc-mods/simple-cobblestone-generator,fulmineo64
[Fabric] Tooltip Texts Scroller,626587,https://www.curseforge.com/minecraft/mc-mods/fabric-tooltip-texts-scroller,hamusuke2303
bad packets,615134,https://www.curseforge.com/minecraft/mc-mods/badpackets,badasintended
megane,408118,https://www.curseforge.com/minecraft/mc-mods/megane,badasintended
🪵 Twigs,496913,https://www.curseforge.com/minecraft/mc-mods/twigs,ninnih_,andantet
